Query,Dialect,Query Real Answer
यानं केला त्या पता कडाला पायजे ,Varhadi,त्याने त्याचा पत्ता शोधावा
मंग देनाच पडला त्याले,Varhadi,मग त्याला द्यावंच लागलं
कंट्या वोक्ती लग्न कराता,Varhadi,कोणत्या वेळी लग्न करता
"एका कवडिले बाईल इकला, पाचे रुपयचा",Varhadi,त्याने आपला बैल पाचशे रुपयांना विकला
जो तुमचा बुधा आहे घंरी तो सानल,Varhadi,घरी एक म्हातारा माणूस आहे तो तुम्हाला सांगेल
दुसरा हांडा कुठे हय,Varhadi,दुसरा हांडा कुठे आहे
लग्न झाला ता तो निंगाला,Varhadi,लग्नानंतर तो निघून जाऊ लागला
धावत पायत ते भाकर बांदली,Varhadi,धावत-पळत त्याने भाकरी बांधली
का वं मा बैनीले न बाप्पूले जेवाले बलावाचा ईचार हाये,Varhadi,मी बहिणीला आणि बाप्पाला जेवायला बोलावण्याचा विचार करत आहे
बलावाना बाप्पा मी का तुमाले नाई मंतो कां कंधी,Varhadi,त्यांना यायला सांगा मी कधी तुम्हाला नाही म्हटलं का?
ता संग बोलनं म्हंजे ना पंचे लयच भारी काम हाये,Varhadi,"त्यांच्याशी बोलणं म्हणजे ना, खूप अवघड काम आहे"
नाई ना थे त कालच गेली,Varhadi,"नाही, ती कालच गेली "
"मी जाईन आठंक दिवसानं, तेवळाच जीवाले अराम",Varhadi,"मी आठ दिवसांनी जाईन, मला आराम मिळेल"
"हवं, च्या पेल्यावर कायचा थांबते थो",Varhadi,चहा पिल्यानंतर तो का थांबेल?
मले काय तुमी म्याट समजता काय,Varhadi,तुला वाटतंय मी वेडा आहे का?
आता हे दोन्ही पोट्टे कुटं गेले,Varhadi,आता ही दोन्ही मुलं कुठे गेली?
कचरा घिवून गेले टाकाले त अजून आलेच नाई,Varhadi,"कचरा घेऊन गेले टाकायला, पण अजून आलेच नाहीत"
जा बरं पावून या तुमी तेयले,Varhadi,जा आणि ते कुठे आहेत ते बघ
तुमचे पोरंयी काय कमी हाये काय,Varhadi,तुमची मुलगीही चांगली आहे.
लोकं कुटयी फेके कचरा,Varhadi,लोक कुठेही कचरा टाकतात
बिमाऱ्या त लयच कमी हुन रायल्या,Varhadi,आजार खूपच कमी झाले आहेत
आता तू मंत त खरंच असंन,Varhadi,जर तुम्ही असे म्हणत असाल तर ते खरे असले पाहिजे
कच ईशय धा खेपा काळता,Varhadi,तू एकच गोष्ट १० वेळा पुन्हा सांगत आहेस
तुयी माय तं साळी नेसते,Varhadi,तुझी आई साडी घालते
मी गेम खेवून रायली मोबाईलवर,Varhadi,मी मोबाईलवर गेम खेळत आहे
भजे खा चे असंन त घिवून या,Varhadi,जर तुम्हाला भजी खायची असेल तर जा आणि घेऊन ये
आता येवळ्या लौकर उठून काय करु मी,Varhadi,"माझा हात दुखत आहे, कणिक मळल्यामुळे"
रखमे मांड बर च्या बाबासाठी,Varhadi,"रखमा, बाबांसाठी चहा ठेव"
धुतलं ना वं माय म्या तोंड मंघानीच,Varhadi,"धुतलं ना गं आई, मी तोंड मगाशीच"
म्याही मनलं मंग सासुरवाळीले जाआच हाये त बा चांगलं दनक्यात जावू,Varhadi,या वर्षीपासून धरणाचे पाणी मिळत असल्यामुळे गावातील सर्वच शेतकरी दोन-तीन पिके घेण्याच्या प्रयत्नात आहेत
आता मातरं बबनले सोंगाची कायजी मिटल्यावानी वाटली,Varhadi,आता मात्र बबनला सोंगाची काळजीपासून सुटका मिळाल्यासारखं वाटलं
ईकळे त्याले अडवांस देल्ल्या थ्या बायका वाट पावू पावू थकल्या,Varhadi,इकडे त्याला ॲडव्हान्स दिलेल्या त्या बायका वाट बघून बघून थकून गेल्या.
दोई हात जोळून घराम्होरं जमलेल्या बायाईले नमस्ते केला,Varhadi,दोन्ही हात जोडून घराजवळ जमा झालेल्या बायकांनी नमस्कार केला
थ्या दिवसी मोठा सायेब सुट्टीवर असल्याच्यानं सारे मोकये व्होते,Varhadi,त्या दिवशी मोठा साहेब सुट्टीवर असल्यामुळे सगळे मोकळे होते
 मंग मी अशा वखताले हात पा ले बसलो,Varhadi, हातांकडे पाहत मी त्या वेळी हातांकडे पाहत बसलो.
त्याले राहासाठी कालनीमंधीच सरकारी क्वार्टर भेटल व्होतं,Varhadi,त्यांना राहण्यासाठी कॉलनीत सरकारी क्वार्टर मिळाले
बाजुलेच घोयक्यात उभ्या असलेल्या दादाराव दाभाडेनं त्याच्याकळं पायलं,Varhadi,शेजारीच घोळक्यात उभ्या असलेल्या दादाराव दाभाडे यांनी त्याच्याकडे पाहिले.
अजूक सांगा मनून गयावया करु लागला,Varhadi,याबद्दल अधिक सांगण्याची विनंती केली
बुढी मने पुळच्या वरसी तावलं लगनच करा,Varhadi,"आजी म्हणाली, पुढच्या वर्षी त्याचं लग्नच कर"
बबन्या माधोसंग गोळगोळ बोलाले लागला,Varhadi,बबन्या माधवसोबत गोडगोड बोलायला लागला
आलोच हाये त बा घ्या बंबाट फिरुन,Varhadi,आता तुम्ही इथे आला आहात म्हणून थोडा वेळ इथे फिरा
तेयच आळनाव मी ईथं मुद्दाम सांगत नाई,Varhadi,त्यांचे आडनाव मी इथे मुद्दाम सांगत नाही
औंदा मले तुमच काईच आईकाचं नाई,Varhadi,यावेळी मला तुमचं काहीच ऐकायचं नाही
मंगूभौ म्हनून वाज देल्ला पन ह्या शटर खोलाले तयार नाई.,Varhadi,"मंगूभाऊ म्हणून आवाज दिला, पण शटर उघडायला तयार नाही"
बजारातनी लय तकलादू भेटतेत,Varhadi,बाजारात खूप कमकुवत  वस्तू भेटतात
घरी येजा अन मावल्या बायकोचा हात पायजा बरं.,Varhadi,आमच्या घरी येऊन माझ्या बायकोचा हात बघा
जसे गेर टाकता यीन तसे त्यानं टाकनं सुरु केले,Varhadi,जसे  घेरे टाकता येतात तसे त्याने टाकायला सुरुवात केली.
कवा समुद्राच्या बुळात जावून मासोयाचं रंगीबेरंगी जगई पावून येते,Varhadi,कधीतरी समुद्राच्या तळात जाऊन माशांचं रंगीबेरंगी जग पाहून येते
तेयच्या डोयातले आसू अन समुद्रातलं पानी सारकंच वाटल,Varhadi,त्याच्या डोळ्यांतील अश्रू आणि समुद्रातील पाणी सारखे वाटले
ह्या मासोयाचा घोयका फिरतांनी यका कासवाले दिसला,Varhadi,हा माशांचा घोळका फिरताना एका कासवाला दिसला
झोपल्याझोपल्याच डोये किलकिले करुन पायले,Varhadi,झोपेतूनच डोळे किलकिले करून पाहिले
पन विच्छा माराची वास्देवरावले सवय नोती,Varhadi,वास्तरदेवला कधीही इच्छा मोडण्याची सवय नाही
येवळ्या जोरानं म्हंतेत का आपल्यालेई म्हनूशा वाटते,Varhadi,ते इतक्या मोठ्याने बोलतात की मलाही बोलायला उत्सुकता वाटते
बरं भाऊजी च्या गी घ्यान काय,Varhadi,ठीक आहे मग भाऊजी तुम्ही चहा घ्याल का?
नंदू ईकळे गालातल्या गालात मूकऱ्या मूकऱ्या हासते,Varhadi,"नंदू इकडे गालातल्या गालात, हळू हळू हसत आहे"
त्यानं सकायीच झोरा उचलला अन् मामी झोपीतून उठाच्या पयलेच गज्यामामा भूं पयाला,Varhadi,गजभाऊची मामी जागे होण्यापूर्वी त्याने त्याची बॅग उचलली आणि पळून गेला
ढोरालेई सोळंत नाई तिथं मानसाची काय कता,Varhadi,"तिथे गुरांनाही सोडत नाहीत, तर माणसांची काय कथा?"
जेवाचा टाईम होयेपावतर दोघंई साळू चीळीचूप बसले व्होते येकाच बाजीवर,Varhadi,त्यांनी वेळ येण्याची वाट पाहिली आणि तोपर्यंत दोघेही सादू बाजेवर शांतपणे बसले
तुमी तुमच्या पोरीले ह्या डांबरटवालीले घिवून या,Varhadi,तुमच्या मुलीला तुमच्यासोबत डांबरटवाडीला घेऊन या.
तसा सरापच हाये म्हने,Varhadi,तो सराफ आहे असे म्हणा
पन त्याले बिच्याऱ्याले आखरीपावतर काई सांगताच नाई आलं,Varhadi,पण त्याला बिचाऱ्याला शेवटपर्यंत काही सांगताच आलं नाही
घरचा पावना लय दिवसानंतर लगनात भोकरबर्डीत झयकला,Varhadi,भेकरबर्डी येथे झालेल्या लग्नात घरातील नातेवाईक दिसला
माह्या त माह्यावरच इसवास नाई बसे,Varhadi,माझा तर माझ्यावरच विश्वास बसत नाही
आता म्हने ह्यानं बालीले तरास देनंयी सोळलं,Varhadi,"आता म्हणतात की, याने बालीला त्रास देणेही सोडून दिले"
बिचारा घोळ्यावर बसून पोट्ट्याईचा नाच मूटुमूटु पावून रायला व्होता,Varhadi,बिचारा घोड्यावर बसून मुलांचा नाच शांतपणे बघत होता
जाय बरं थ्या घोळीच्या टिंबाटिंबावर येक लिचोंडा घिवून ये,Varhadi,जा आणि त्या घोळातून एक लिंबाची फांदी घेऊन ये
त्याच्या वावरात पेरलेला सोला तीन मयन्यानंतर चांगलाच बहरला.,Varhadi,त्याच्या शेतात पेरलेला मका तीन महिन्यांनंतर चांगलाच बहरला
नाईतं म्हनांन तुमी ह्या वकील कुठुंन आनला ईचिभीन,Varhadi,"नाहितर तुम्ही विचाराल की मी हा वकील कुठून आणला,ज्याला काहीही माहिती नाही"
मंग मंघानी इंधन घ्याले गेलतो तव्हा पाह्यली थे कोन व्होती,Varhadi,मी इंधन तपासणार होतो मग काही वेळापूर्वीच कोण आहे ते शोधले.
थो घराकडे याले निंघाला त येका बाभुयीच्या झुळपावर त्याले दिसला,Varhadi,तो घराकडे निघत असताना एका बाभळीच्या झुडपावर त्याला दिसला
तेयले कास्याच्या गळवा गिल्लासात पानी देल्लं प्यासाठी,Varhadi,त्याला पितळेच्या पेल्यात पाणी दिलं पिण्यासाठी
शाळेत मास्तरीनले दाखोते तसे यान दोन बोट तिले दाखोले,Varhadi,"त्याने तिला २,३ बोटे दाखवली, अगदी शाळेत असताना त्याने त्याच्या मॅडमला दाखवल्याप्रमाणे"
तुले तावल्या मालकाची भिती नाई,Varhadi,तुला त्या मालकाची भीती नाही?
"नाई च्याच मांडना, साकरीचा डबायी नाई दिसून रायला",Varhadi,"नाही, चहा नाहीये, मला साखरेचा डबाही दिसत नाहीये"
पोट्ट जास्तच टेंभलाले लागलं,Varhadi,मुलगा जास्तच हट्टीपणा करू लागला
मले माह्या वयखीच्या येका मानसानं पत्ता देल्ला,Varhadi,मला माझ्या ओळखीच्या एका माणसाने पत्ता दिला
अन् मी त सांगतलेल्या मोहल्ल्यातच आलो व्होतो,Varhadi,आणि मी त्याच गल्लीत प्रवेश केला जिथे मला सांगितले होते
सापळत नसल्यानं मावली सटकन्याच्या बेतात असतांनाच मावला टुपलाईट येकदम पेटला,Varhadi,"सापडले नाही, म्हणून मी त्या ठिकाणाहून हलण्याचा विचार करत होतो तेव्हाच ट्यूबलाइटने माझ्या डोक्यात प्रकाश पडला"
बोटं फिरोता फिरोताच आता त्याचे नंबर बरोबर लागून रायले होते,Varhadi,बोटं फिरवता फिरवता आता त्याचे नंबर बरोबर जुळायला लागले होते
बसला कां नवचा आकळा दाबाच्या वखती याचा सहाचा अन् सातचा आकळा दाबाच्या वखती चारचाच आकळा दबून जाये,Varhadi,जेव्हा तो बसून नऊ क्रमांक दाबण्याचा प्रयत्न करतो तेव्हा त्याने सहा क्रमांक दाबला असतो आणि जेव्हा तो सात क्रमांक दाबण्याचा प्रयत्न करतो तेव्हा त्याला चार क्रमांक येतो
उद्या पून्यांदा भेटू ह्याच वखताले जेवन - खावन झाल्यावर,Varhadi,"उद्या पुन्हा भेटू याच वेळेला, जेवण-खावण झाल्याव"
दुकानं बंद हाये त सरकारचा लय मयसूल बुळून रायला,Varhadi,दुकाने बंद आहेत म्हणून सरकारचा खूप महसूल बुडून चाललाय
 निवळनुकीच्या वखताले फुकट भेटते,Varhadi,निवडणुकीच्या वेळी फुकट मिळते.
आता येच्यात न पटाजोगतं काय हाये,Varhadi,आता यात न पटण्यासारखं काय आहे?
आम्हाला साकायपरी उडून नदीवर जावे लागते,Varhadi,आम्हाला सकाळी उठणे' नदीकडे जावे लागते
एका हाति नाराय दिला,Varhadi,एका हातात नारळ दिला
जे पदार्थ केले ते नेमून दिले,Varhadi,पदार्थ बनवले ते वितरित केले गेले
 लग्न लावल्यावर पोय करायला बनवलं,Varhadi,जेव्हा लग्न सुरू झाले त्याच क्षणी मी भेटवस्तू तयार करत होतो
लग्नाच्या रोजी प्रत्येक सापाक केला,Varhadi,लग्नाच्या दिवशी प्रत्येक स्वयंपाक केला
"माया इथे पावणे, माया घरी राहिले",Varhadi,"माझे पाहुणे इथेच थांबले, माझ्या घरीच राहिले"
पण हा पाणी तप्याचा टिप आहे तो जाय आणि भरून,Varhadi,"हा पाण्याचा नळ आहे, तो जा आणि भरून घे"
भाकर नाही करत ता आला अखीन बोलवायला,Varhadi,"भाकरी करत नाही, तरी तो पुन्हा बोलावण्यासाठी आला"
राजा आणि प्रधान सोयरीक पायले चालले होते,Varhadi,राजा आणि प्रधान सोयरीक पाहण्यासाठी चालले होते
"काय लखा, आस करतोय काय ?",Satara,काय रे आस का वागतो
"काय मर्दा, आस करायलास वय",Satara,काय रे आस का वागतो
यारी वर कामाला चाललोय,Satara,विहिरीतील गाळ काढणे जुगाड (यारी)  वर कामाला चाललोय
मेंढर वळायला गेलाय,Satara,मेंढर(shep) राखायला गेलाय
मोट हाकतोय,Satara,विहिरीतून पाणी बाहेर काढून शेती का देतोय
लाईट गेली आहे चिमणी लाव,Satara,लाईट गेली आहे दिवा लाव
उंटा वरून शेळ्या राखणे,Satara,आपली कामे दुसऱ्यांना सांगणे
रान कोळपने,Satara,शेतीची मेहनत करणे
आजोळी चाललोय,Satara,आईच्या माहेर घरी चाललोय
तुझ्या बापाची पेंड आहे काय,Satara,तुझ्या हक्काच आहे का
खवट,Satara,"चालक, strong"
माझा मित्राचं हे बिराड आहे,Satara,माझा मित्राची ही girlfriend आहे
झील,Satara,जमिनीतून पाणी बाहेर येण्याची जागा
ऐटाक,Satara,पेरणी यंत्राला पकडण्यासाठी वापरले जाणे supporter
खुरुड,Satara,कोंबडी चे राहण्याचे ठिकाण
करडू,Satara,शेळीचे (goat) पिलू (baby)
आवत चालू आहे,Satara,"रानाची कसागत, मेहनत चालू आहे"
गावाला हाय,Satara,गावाला आहे
चला निघतो,Satara,जातो
काय चाललंय,Satara,काय चाललंय
निघतो मग,Satara,जातो मी आत्ता
कामावर जाऊन आलाय,Satara,तो कामावर जाऊन आला आहे
दिवस मावळला आहे,Satara,"सूर्य मावळला आहे"" किंवा ""संध्याकाळ झाली आहे"
तो बाजाराला गेलाय,Satara,"तो बाजारात गेला आहे"""
नवीन गाडी घेतलीय,Satara,मी/एखाद्याने नवीन गाडी खरेदी केली आहे
ऐक ना धड भरभर चिंध्या,Satara,ऐक ही काम नीट/पूर्णपणे न करणे
आज पार्टी आहे,Satara,आज एक समारंभ किंवा उत्सव आहे
मला जेवायला वाड,Satara,माझ्या ताटात जेवण वाढ
फकड्या गावच्या चौकात आहे,Satara,फकड्या नावाचा माणूस गावातील चौकात उभा आहे
तो बैलगाडा शर्यती बघायला गेलाय,Satara,तो माणूस बैलगाड्यांची शर्यत पाहण्यासाठी गेला आहे
विशाल ला माज आलाय,Satara,"विशाल खूप गर्विष्ठ झाला आहे"" किंवा ""विशालला अहंकार आला आहे."
सव्वा दोन तास पाणी पुरवठा बंद होता.,Satara,दोन तास आणि पंधरा मिनिटांसाठी पाणी येणे थांबले होते.
पाच पायली बाजरी दे,Satara,हे वाक्य बाजरीची मागणी करण्यासाठी वापरले जाते. 'पायली' हे जुन्या काळात धान्य मोजण्यासाठी वापरले जाणारे एक माप आहे
दोन पायली ज्वारी गिरणीतून दळून आण,Satara,गिरणीतून दोन पायली ज्वारी पिठ करून घेऊन या
मुले व्हरांड्यात खेळत आहेत,Satara,लहान मुले घराच्या बाहेरील मोकळ्या जागेत खेळात व्यस्त आहेत.
व्हरांड्यात,Satara, घराच्या बाहेरील मोकळ्या जागेत
फिरायला महाबळेश्वर ला जायचं आहे,Satara,तुम्हाला महाबळेश्वरला फिरायला जायचं आहे.
गणपतीत बाहेर जाऊ नको,Satara,गणपतीच्या सणादरम्यान बाहेर जाऊ नका
जरा शिक त्याच्या कडून,Satara,"त्याच्याकडून काहीतरी शिकून घे"" किंवा ""त्याच्याकडून थोडं ज्ञान घे."
माणसात रहा,Satara,"इतरांसोबत मिळून-मिसळून राहा"" किंवा ""गर्विष्ठ होऊ नकोस."""
तुच्छ लेखणे,Satara,"एखाद्याला कमी लेखणे"" किंवा ""एखाद्याची किंमत न करणे."
आज शाळेत प्रवेश घेण्यासाठी गेलो होतो,Satara,मी आज शाळेत नावनोंदणी किंवा ॲडमिशनसाठी गेलो होतो.
दोघे पण खूप राबतात,Satara,"ते दोघेही खूप कष्ट करतात"" किंवा ""ते दोघेही खूप मेहनत करतात."
पैलवान तालमीत व्यायाम करत आहेत,Satara,कुस्तीपटू व्यायामशाळेत सराव करत आहेत.
पाटील वाड्यावर आहेत,Satara,पाटील त्यांच्या घरी किंवा वाड्यावर आहेत.
सुशांत बाहेर गावी शिकायला गेला आहे.,Satara,सुशांत दुसऱ्या शहरात किंवा गावात शिक्षणासाठी गेला आहे
रानातून वैरण आणायची आहे,Satara,मला शेतातून  जनावरांसाठी गवत किंवा चारा घेऊन यायचा आहे.
सकाळी दव पडली आहे,Satara,सकाळी गवतावर किंवा झाडाच्या पानांवर दवाचे थेंब साचले आहेत.
गाई का चारा टाक,Satara,गायीला खायला गवत किंवा चारा दे
शिरवाळ पडल आहे,Satara,"म्हणजे सतत जड पाऊस नाही, पण हलक्या स्वरूपात पावसाची सुरूवात झाली आहे."
लग्नाच्या दिवशी त्यांनी एक व्हिडिओ शेअर केला,Satara,त्यांच्या लग्नाच्या दिवशी त्यांनी एक व्हिडिओ सर्वांसोबत शेअर केला.
बोकडाचे मटण 800रु किलो आहे,Satara,म्हणजे बोकडाचे मांस १ किलोसाठी ८०० रुपये दराने विकले जात आहे.
बोकड म्हणजे काय,Satara,बोकड म्हणजे नर बकरी (male goat)
वरदावा गावातून फिरणार आहे,Satara,एखाद्या व्यक्तीच्या लग्नाचा वेळी त्याची गावातून मिरवणूक होणार आहे
मी शिकारी ला जाणार आहे,Satara,मी शिकार करण्यासाठी जाणार आहे
ती खूप हुशार आहे,Satara,ती खूप बुद्धिमान आणि हुशार आहे.
हा मुलगा गंड आहे,Satara,हा मुलगा कमी हुशार आहे
तो मंद आहे,Satara,त्याची बुद्धी कमी आहे.
मी आज चपाती भाजी खाल्ली,Satara,मी आज जेवणात चपाती आणि भाजी खाल्ली
"उद्या भंडारा आहे, मी तिकडे जेवण करेल",Satara,उद्या गावात एक मोठा जेवणाचा कार्यक्रम आहे आणि मी तिथे जेवण करेन.
आज आमच्या मेंढीला कोकरू झालं,Satara,आज आमच्या मेंढीने एका पिल्लाला जन्म दिला
राणी मेंढी ला बकरा झाला,Satara,राणी नावाच्या मेंढीला बकरं झालं.
"रडा होणार , पोरं नाय ऐकणार",Satara,"रडा' या शब्दाचा अर्थ गोंधळ,किंवा भांडण असा होतो.मुले तुमचे ऐकणार नाहीत आणि त्यामुळे खूप गडबड किंवा गोंधळ होईल"
अजित पवारांनी 13 कोटींचा घोळ केला,Satara,अजित पवार यांनी 13 कोटी रुपयांचा घोटाळा किंवा गैरव्यवहार केला आहे
सगळे नेते भ्रष्टाचारी आहेत,Satara,सर्व राजकीय नेते भ्रष्टाचार करतात.
पाणी पाजून आण,Satara,पाणी पिऊन ये
रणातलं पाणी पेटलय,Satara,शेतातील पाणी कमी झाले आहे
भाकरीला भाजून दे,Satara,भाकरीला नीट भाजून दे
तो लयच कामात गुंतलाय,Satara,तो खूप जास्त कामात व्यस्त आहे
आजचा दिवस उकाडा आहे,Satara,आजचा दिवस खूप उष्ण आहे
आमच्या शेतात गहू पेरलेत,Satara,आमच्या शेतात गहू पेरले आहेत
त्याला बघावाच लागेल,Satara,त्याला बघावेच लागेल
जांभळाचा पाऊस पडतोय,Satara,जांभळ्या रंगाचा पाऊस पडत आहे
जनावरांना चारा दे,Satara,जनावरांना खायला दे
मी लवकरच गावात येईन,Satara,मी लवकरच गावी येईन
गाडीला रंग मारायचा य,Satara,गाडीला रंग लावायचा आहे
हा माणूस माझ्या ओळखीचा नाय,Satara,हा माणूस माझ्या ओळखीचा नाही
आज बाजारपेठेत गर्दी हाय ,Satara,आज बाजारपेठेत गर्दी आहे
ती खूपच चतुर हाय ,Satara,ती खूपच हुशार आहे
आम्ही बाहेर फिरायला गेलो होतो,Satara,आम्ही बाहेर फिरायला गेलो होतो
आज पाऊस पडल का?,Satara,आज पाऊस पडेल का?
त्याचा स्वभाव चांगला हाय,Satara,त्याचा स्वभाव चांगला आहे
मला एका मित्राची मदत हवीय,Satara,मला एका मित्राची मदत हवी आहे
तो माझा जुना मित्र हाय,Satara,तो माझा जुना मित्र आहे
मी तुला नंतर कॉल करन,Satara,मी तुला नंतर फोन करेल
आज खूप थंडी हाय ,Satara,आज खूप थंडी आहे
तो नेहमीच हसतो,Satara,तो नेहमीच हसत असतो
त्याला भूक लागली य,Satara,त्याला भूक लागली आहे
आम्ही एकत्र जेवतो,Satara,आम्ही एकत्र जेवण करतो
हा रस्ता कुठे जातो?,Satara,हा रस्ता कुठे जातो?
मी आज शाळेत गेलो नाय,Satara,मी आज शाळेत गेलो नाही
ती खूप छान गाते,Satara,ती खूप छान गाते
मला एक नवीन ड्रेस हवाय ,Satara,मला एक नवीन ड्रेस हवा आहे
तो चांगला खेळाडू आहे,Satara,तो एक चांगला खेळाडू आहे
आजचा दिवस खूप व्यस्त होता,Satara,आजचा दिवस खूप व्यस्त होता
ती रोज व्यायाम करते,Satara,ती रोज व्यायाम करते
मला लवकर झोपायचे हाय ,Satara,मला लवकर झोपायचे आहे
तो कामावर गेलाय,Satara,तो कामावर गेला आहे
मी नवीन घर घेतल य ,Satara,मी नवीन घर घेतले आहे
आजची हवा खूप चांगली हाय,Satara,आज हवा खूप चांगली आहे
त्यांना नवीन नोकरी मिळाली या,Satara,त्यांना नवीन नोकरी मिळाली आहे
